"id","name"
"04601739-264d-478b-aae9-67145b615713","Surveyor's Scope"
"733b33a7-6661-4978-8f3c-7fd796cde017","Overexertion"
"f89ada6c-c697-425d-b9f9-0521a687fd8f","Bruno Bergmann"
"55caf262-a05f-48c9-9091-1c23ca539631","Meemaw's Shew Stone"
"6a0ae81a-32dd-4121-9283-12b3e7bfa750","Impostor Syndrome"
"1876c72d-3df0-4885-be47-b19c7f84327d","Felix Crawford"
"8b53613f-f082-4a15-a3d0-dd30f8f927b1","King Leopold"
"ed72231e-d855-4a4d-8c3f-98ca83ed830a","Trained Falcon"
"0ba6c451-3823-4bff-8d1b-c9e43f0c704b","Primal Possession"
"56621ee9-fd76-45d6-8579-cc2c4e54cc69","Helena Voss"
"21a6cfa5-114e-406d-b972-1d4b6ea23d08","Never Say Die"
"0c6ac9fa-092c-4e15-b17d-8ee78d85b226","Ghost of the Inferno"
"14c698a7-23ed-4e79-8f1e-54d420b11cdc","Ralph Truman"
"4c71a5d5-294f-4612-81a4-09c79d74d7cd","Coordination"
"5a6e4b7e-d797-46e1-82c1-c9748649056c","Slip of the Tongue"
"7cb0518f-8376-4393-93f6-f1504cdaed62","Sathya Narasimhan"
