"id","name"
"12aecd04-b925-4e89-91a5-69923744d15a","Murmures des Profondeurs"
"494877c3-89b0-478e-9bf3-82bda06e2343","Piste Froide"
"6b0bb943-348f-4789-9e68-f17e78d8a837","Piste Froide"
"72f9154f-247f-4f9e-b51e-49401e1bb221","Transi jusqu'aux Os"
"3774634d-34d7-4021-b6bc-19885644c533","Traqueur Englouti"
"0a3e762c-115a-4678-9db7-81c13a0ebb20","Concurrence Agressive"
"bb24e17f-79d1-452f-945e-8a7a7159f136","Concurrence Agressive"
"f764f3c0-c1ee-440b-bc0c-e40fab42d874","Garder la Main"
"bf766539-57d1-4d0f-bc86-f6bfba15581b","Garder la Main"
"a82576fa-a3b2-461b-95e4-5c165faed057","La Folie des Enchères"
"c092139e-c22d-4e7b-a79e-c1b635f43bbf","La Folie des Enchères"
"3436d846-3d2c-4763-9a9d-80586f5c176a","Pickpocket"
"f7a6fe2c-67eb-4459-b981-3aebebd9b924","Surveillant de la Salle des Ventes"
"2eb6a8ad-2d87-4de5-bdfd-7ea40cf3e562","Attaque Surprise"
"d10c584e-892f-4492-ba7d-d16785216a11","Attaque Surprise"
"45cd58af-2aff-4938-9a48-1da8f08c9234","Chiffrement Obscur"
"5c0fd9e0-7e3b-4b4e-afe6-905a79046e13","Nettoyeur"
"3607f31a-a962-409d-bfc6-2e6c1ccb3122","Nettoyeur"
"bb83dd5b-3104-43e5-a5ec-5063bba03c97","Pièces Manquantes"
"f702f062-c69f-4b4b-aa8e-5e5c4e819c9e","Pyromane"
"cb4ba695-dd29-4435-92ba-b69fd73a68e2","Pyromane"
"6cb01e93-3b16-44d5-8116-87b403f3563d","Agent Dormant"
"066d49f0-eae2-4563-992d-e45bfe1cff60","Fait comme un Rat"
"34a9d8be-0fca-4f83-bdb8-3b7a6fdb3be4","Fait comme un Rat"
"f7d15de2-7f8b-413c-8070-28b8e3fe1fc1","Des Loups dans la Bergerie"
"90784938-58ab-4349-bfaf-b021b26b9ce1","Des Loups dans la Bergerie"
"402d67f8-019a-43f2-a616-eb6913d7ee3e","Repéré (Menace Avérée)"
"c538b14d-67aa-466e-9d66-4b945e31ce1f","Repéré (Menace Potentielle)"
"2956a478-3a0f-45e3-981c-32e0d48e9e08","Repéré (Menace Prioritaire)"
"375207aa-1782-469f-ba9f-119a62dbd620","Suspects Dogmatiques"
"d4e25915-434c-44c2-858a-7b61699c3d4d","Suspects Dogmatiques"
"9b3393e1-607c-4c48-b3c8-c2647477d0dc","À vos Trousses"
"7c2c2aee-f889-4197-802f-6ec0344e4571","Aiguille Cachée"
"6aaeca79-0411-4161-9030-b658ffb40ae6","Aiguille Cachée"
"3869ad00-f20b-48f3-9b5c-b5d90bf5456b","Fermer la Nasse"
"5dd65695-55d8-4f26-aa68-45e06c7739b6","Territoire Étranger"
"8a3fea2d-4abb-4afd-ae57-319cef222705","Territoire Étranger"
"c58d1ef7-bb52-46cc-86d6-15513d714020","Asthénie"
"5f27e494-2886-4d94-89ac-d97ec1fd6ce6","Asthénie"
"ffe11232-789c-4aae-9d32-464a8336e935","Asthénie"
"76a60883-0380-4c78-a956-e11d15d28782","Barrière Pulsatile"
"47cc9810-fa36-4d17-9826-4cf9730ffdca","Barrière Pulsatile"
"aa04d390-92d4-4a35-a273-511412ab89fb","Basiphobie"
"81edd705-a66b-4e2d-9ef0-79720cb2cdfd","Basiphobie"
"e42d3c6b-94b0-42f6-9e40-d6e5d954aedd","Pensées Fragmentaires"
"96139c0a-3dc4-4c14-98bc-6279a3db21a4","Structure d'Emprisonnement"
"265a73ea-5518-45cb-8def-3c6bf7609f9c","Tisseur d'Entrave"
"3932722c-f59f-4e92-b560-8b8dc7114245","Agent des Profondeurs"
"1a61d5de-ad09-4532-acb0-37c6ef9972d8","Agent des Profondeurs"
"be328da9-e426-47c4-a67b-5dd368f52568","Conjuration Spatiale"
"600fde20-5e12-4533-a112-e42dd5aa684e","Conjuration Spatiale"
"b044a804-05ab-4f97-a38d-f37381767516","Convergence Accidentelle"
"41dcb3ac-c498-4d6f-9bb4-00feb77cd02b","Nuages de Cendres"
"3062479b-d8fc-4f0c-a996-95e6891f0bd0","Nuages de Cendres"
"39e548c7-1658-4200-8383-b72d6beaf687","Pluie de Cendres"
"70b84d0c-7c6b-4a02-80f2-a755980fe972","Angles Incalculables"
"ae6f5a73-26c9-480a-a3e1-a85ea70261d7","Angles Incalculables"
"eebbb44c-354d-4717-a882-a3b2028694aa","Au Bord du Vide"
"6501df65-a3fc-49dd-8e0c-1f04c7e7f6d5","Au Bord du Vide"
"e52bdffc-4221-4953-b486-b7ab26b9172c","Paysages Inconcevables"
"9462c8d0-e988-4dd6-a6b7-88061baca224","Paysages Inconcevables"
"e43ab835-d4e8-422a-bda7-f81646f2cd7f","Progéniture des Profonds"
"0201a7ad-7860-45c3-8f62-51979e360bd0","Rêveur Maudit"
"f7bbdd22-02fc-48de-adc4-599e83824bf0","Fléaux Archaïques"
"6b844952-0faf-4c81-b247-4315881b0c57","Fléaux Archaïques"
"4b0a07f2-6615-4b52-961a-1b8d9569c91c","Architecte Fou"
"18f2b39b-cf72-448c-b6c7-32379c1531a1","Mystérieux Géomètre"
"82b4960a-1cd2-495f-9d6d-f99c910c08e8","Sceaux Hyperboliques"
"eb26ca24-2320-4978-b15a-5d224309b4c5","Hallucinations Grotesques"
"cc5aab41-4ca7-4d39-ad0e-1355f58e1d2b","Rêveur Psychotique"
"64e4de16-65f4-433c-ae4d-18263ce4560e","Adorateur Éclairé"
"052da70b-542c-4026-b8b9-418bee4de43e","Adorateur Éclairé"
"c9e4411c-3feb-4be9-b225-11b2dfd03590","Iä! Iä!"
"85d743d8-46b8-4988-aee3-f3fb4bb75ec0","Visions Abyssales"
"fd44df7b-2b09-467b-9f72-16da8e48e88e","À Chaque Coin de Rue"
"91aae336-4da9-4edb-87d5-3b966e5eeaac","Barbouze"
"d293959b-29fe-4848-98ea-388fdd347944","Espion"
"74003755-e004-4069-8b0f-7b0155b45e94","Hybride Infiltré"
"ebb9db88-ba8a-41aa-8154-451bb27066a1","Jaillir des Ténèbres"
"f3689f07-0939-479b-b0cc-c1fb022f1992","Profond Prédateur"
"118db53d-0a0a-4892-985f-9a361f4757a1","Pluie Battante"
"367d53e6-0898-451c-863c-464a8afdba62","Pluie Battante"
"3f2d1851-6154-4f0d-bae1-01ad437fa3bf","Vagues Déferlantes"
"4d09f49b-31db-4575-86b1-d6644e6dbcfb","Vagues Déferlantes"
"f465ff2f-ba70-4343-805a-103c26d2f200","Bagarre de Rue"
"d5a1547b-05f6-4de6-9204-367c87eeba5d","Maraudeur"
"b6f35f7e-e0c6-458f-ba3d-9ef7585e3d61","« Vous Devriez Quitter les Lieux… »"
"f2439602-2603-4fda-a85e-a797423bdc1b","Perspective Impossible"
"17ce5d69-cf7c-4608-8694-e55f345a3ab4","Pierre Déformée"
"92e27683-fb87-4b1f-a524-b90aea02febd","Repli Dimensionnel"
